('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535147 function calls (516611 primitive calls) in 1.428 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1686    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      725    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      179    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      132    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      993    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      307    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
       84    0.000    0.000    0.001    0.000 css_parser.py:792(parse_combinator)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
     1364    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      191    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
       10    0.000    0.000    0.293    0.029 __init__.py:1(<module>)
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       45    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       97    0.000    0.000    0.001    0.000 enum.py:932(__or__)
      332    0.000    0.000    0.138    0.000 re.py:250(compile)
    226/4    0.000    0.000    0.250    0.062 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      315    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      941    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      462    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      993    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  151/150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        1    0.000    0.000    1.428    1.428 financial.py:1(<module>)
      402    0.000    0.000    0.000    0.000 __init__.py:773(handle_data)
        1    0.000    0.000    0.002    0.002 constant.py:2(<module>)
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      315    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      272    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
       98    0.000    0.000    0.010    0.000 response.py:1093(_update_chunk_length)
    39/31    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       69    0.000    0.000    0.001    0.000 css_parser.py:529(parse_tag_pattern)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
  210/146    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       12    0.000    0.000    0.001    0.000 enum.py:978(_decompose)
      467    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        2    0.000    0.000    0.007    0.003 utils.py:1(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        1    0.000    0.000    0.024    0.024 url.py:1(<module>)
