('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         535209 function calls (516687 primitive calls) in 7.060 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  175/171    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      401    0.000    0.000    0.001    0.000 _htmlparser.py:178(handle_data)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:383(freeze)
     1185    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      113    0.000    0.000    0.001    0.000 response.py:1093(_update_chunk_length)
      941    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      398    0.000    0.000    0.000    0.000 __init__.py:523(string_container)
      725    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
      315    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       80    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      158    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
      191    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      377    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      112    0.000    0.000    0.015    0.000 response.py:456(_decode)
     1486    0.000    0.000    0.000    0.000 ssl.py:1107(_checkClosed)
      168    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.003    0.003 packages.py:1(<module>)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      315    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      757    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     1686    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      223    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
  157/149    0.000    0.000    0.004    0.000 typing.py:255(inner)
        1    0.000    0.000    7.060    7.060 financial.py:1(<module>)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      132    0.000    0.000    0.000    0.000 typing.py:172(_collect_type_vars)
      307    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      191    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      602    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       84    0.000    0.000    0.001    0.000 css_parser.py:792(parse_combinator)
       10    0.000    0.000    0.293    0.029 __init__.py:1(<module>)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       97    0.000    0.000    0.001    0.000 enum.py:932(__or__)
     1364    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       32    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
      273    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      993    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      179    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       69    0.000    0.000    0.001    0.000 css_parser.py:529(parse_tag_pattern)
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      237    0.000    0.000    0.000    0.000 {built-in method builtins.any}
  151/150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
       35    0.000    0.000    0.000    0.000 element.py:2155(__init__)
      993    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      332    0.000    0.000    0.136    0.000 re.py:250(compile)
       45    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
    39/31    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        1    0.000    0.000    6.811    6.811 financial.py:8(main)
    226/4    0.000    0.000    0.247    0.062 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      402    0.000    0.000    0.000    0.000 __init__.py:773(handle_data)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
      382    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      164    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
  210/146    0.000    0.000    0.000    0.000 typing.py:720(__hash__)
        1    0.000    0.000    0.002    0.002 constant.py:2(<module>)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       12    0.000    0.000    0.001    0.000 enum.py:978(_decompose)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      149    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.000    0.000    0.034    0.034 dammit.py:67(EntitySubstitution)
    64/31    0.000    0.000    0.138    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      258    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       48    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
      207    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      272    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      405    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.007    0.003 utils.py:1(<module>)
      966    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        3    0.000    0.000    0.159    0.053 __init__.py:2(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       32    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       31    0.000    0.000    0.000    0.000 typing.py:219(_remove_dups_flatten)
       12    0.000    0.000    0.000    0.000 enum.py:997(<listcomp>)
      467    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       28    0.000    0.000    0.000    0.000 ipaddress.py:1558(_ip_int_from_string)
      219    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      479    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.073    0.073 css_parser.py:1(<module>)
    42/30    0.000    0.000    0.012    0.000 css_parser.py:566(parse_pseudo_class)
      149    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      168    0.000    0.000    0.007    0.000 sre_parse.py:96(closegroup)
       10    0.000    0.000    0.003    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:222(__init__)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
    28/13    0.000    0.000    0.170    0.013 {built-in method builtins.__import__}
       35    0.000    0.000    0.021    0.001 element.py:2013(find_all)
      331    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      316    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.000    0.000 ssl.py:1327(_real_close)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
       95    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       68    0.000    0.000    0.003    0.000 _htmlparser.py:90(handle_startendtag)
      386    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.000    0.000 url.py:227(_encode_invalid_chars)
      176    0.000    0.000    0.001    0.000 _collections_abc.py:742(__iter__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       80    0.000    0.000    0.711    0.009 {method 'readline' of '_io.BufferedReader' objects}
       76    0.000    0.000    0.000    0.000 element.py:1417(_all_strings)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
      196    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
    29/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.005    0.005 socket.py:4(<module>)
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:373(_freeze_relations)
        6    0.000    0.000    0.000    0.000 typing.py:878(__class_getitem__)
