('Total Revenue', '227,583,000', '211,915,000', '198,270,000', '168,088,000', '143,015,000')
         613248 function calls (588103 primitive calls) in 1.623 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      695    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      695    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      665    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      660    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      658    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      656    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      652    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
      645    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      621    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      615    0.001    0.000    0.005    0.000 enum.py:313(__call__)
      602    0.000    0.000    0.001    0.000 enum.py:631(__new__)
      594    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
      586    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      548    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      497    0.004    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      497    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      485    0.000    0.000    0.001    0.000 typing.py:358(<genexpr>)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      460    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      460    0.001    0.000    0.002    0.000 enum.py:75(__setitem__)
      459    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      444    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      441    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:376(cached)
      433    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      430    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      421    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      419    0.000    0.000    0.000    0.000 typing_extensions.py:179(_should_collect_from_parameters)
      402    0.000    0.000    0.000    0.000 __init__.py:773(handle_data)
      401    0.000    0.000    0.001    0.000 _htmlparser.py:178(handle_data)
      398    0.001    0.000    0.002    0.000 element.py:943(__new__)
      398    0.000    0.000    0.000    0.000 __init__.py:523(string_container)
      398    0.001    0.000    0.001    0.000 __init__.py:620(object_was_parsed)
      398    0.002    0.000    0.009    0.000 typing.py:659(__init__)
      392    0.000    0.000    0.000    0.000 typing.py:532(__hash__)
      388    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      382    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      358    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      344    0.002    0.000    0.115    0.000 re.py:289(_compile)
      338    0.000    0.000    0.115    0.000 re.py:250(compile)
      335    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      332    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      331    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      325    0.001    0.000    0.005    0.000 css_parser.py:1085(selector_iter)
    323/1    0.008    0.000    1.623    1.623 {built-in method builtins.exec}
      322    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      310    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      310    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      310    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      308    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      308    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      301    0.000    0.000    0.000    0.000 types.py:171(__get__)
